match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalCross,duelLost,dispossessed,totalClearance,totalTackle,wonTackle,unsuccessfulTouch,fouls,aerialLost,shotOffTarget,onTargetScoringAttempt,outfielderBlock,interceptionWon,keyPass,shotValueNormalized,accurateCross,challengeLost,totalContest,wonContest,totalOffside,blockedScoringAttempt,totalKeeperSweeper,accurateKeeperSweeper,ownGoals,bigChanceCreated,bigChanceMissed
14015402,home,324661,OFK Beograd,77512,Stefan Šćepović,stefan-scepovic,F,12,False,6.0,4.0,,,0.0,2.0,2.0,4.0,1.0,5.0,,4.0,,,62.0,14.0,6.9,4.0,,"{'original': 6.9, 'alternative': 6.8}",0,-0.11,0.04,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,4,0,66.66666666666666,,,,,2.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,2.0,,,,,,
14015402,home,5153,OFK Beograd,1104742,Uroš Lazić,uros-lazic,D,21,True,20.0,12.0,1.0,,0.0,4.0,4.0,16.0,,1.0,1.0,1.0,,,45.0,30.0,6.5,11.0,,"{'original': 6.5, 'alternative': 6.7}",0,0.0,0.1,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,60.0,,50.0,,,8.0,2.0,2.0,,,,,,1.0,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,
14015402,home,5153,OFK Beograd,1981967,Andrej Pavlovic,andrej-pavlovic,D,4,True,27.0,21.0,2.0,,0.0,15.0,17.0,10.0,2.0,3.0,3.0,2.0,,,45.0,33.0,6.5,7.0,,"{'original': 6.5, 'alternative': 6.5}",0,-0.02,0.01,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,5,4,1,3,77.77777777777779,,,,,6.0,,6.0,,3.0,,,1.0,2.0,3.0,,,,,,,,1.0,,,,,,,,,
14015402,home,5149,OFK Beograd,1937553,Jay Enem,tyron-enem-jay-ifeanyi-junior,F,22,True,1.0,1.0,,,0.0,1.0,1.0,,,1.0,,,,,28.0,7.0,6.4,1.0,,"{'original': 6.4, 'alternative': 6.7}",2,-0.01,0.23,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,100.0,,,50.0,,,,2.0,,1.0,,,,,1.0,2.0,,,,,-0.62,,,2.0,1.0,,,,,,,
14015402,home,5153,OFK Beograd,1087489,Uroš Kabić,uros-kabic,F,17,True,7.0,5.0,1.0,,0.0,,1.0,6.0,,2.0,2.0,2.0,,,22.0,9.0,6.6,2.0,,"{'original': 6.6, 'alternative': 6.7}",0,-0.05,0.05,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,2,0,71.42857142857143,,,,,5.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
14015402,home,5153,OFK Beograd,955061,Edmund Addo,edmund-addo,M,3,True,11.0,8.0,1.0,,0.0,5.0,6.0,5.0,2.0,3.0,,,,,10.0,14.0,6.8,4.0,,"{'original': 6.8, 'alternative': 6.7}",0,0.09,0.0,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,72.72727272727273,,,100.0,,3.0,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,
14015402,home,47321,OFK Beograd,1544616,Hugo Alba,hugo-alba,F,9,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015402,home,5153,OFK Beograd,94538,Saša Marković,sasa-markovic,M,10,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015402,home,5153,OFK Beograd,1939189,Mamadou Fall,moustapha-fall,D,26,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015402,home,5149,OFK Beograd,1406109,Vuk Draškić,vuk-draskic,G,28,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
