match_id,team_id,team_name,team_side,accurateCross,accurateLongBalls,accuratePasses,accurateThroughBall,aerialDuelsPercentage,ballPossession,blockedScoringAttempt,cornerKicks,dispossessed,dribblesPercentage,duelWonPercent,expectedGoals,fouls,freeKicks,goalKicks,goalkeeperSaves,groundDuelsPercentage,hitWoodwork,interceptionWon,offsides,passes,redCards,shotsOffGoal,shotsOnGoal,throwIns,totalClearance,totalShotsInsideBox,totalShotsOnGoal,totalShotsOutsideBox,totalTackle,yellowCards
14147349,24312,FK Jezero,away,5,19,385,0,19,60,3,3,5,23,42,0.94,9,4,8,4,54,2,8,2,469,0,3,4,32,13,7,12,5,3,0
14147350,6226,FK Dečić Tuzi,home,3,35,249,3,14,53,2,5,7,14,35,0.54,11,3,12,2,46,0,4,4,365,0,3,2,37,7,5,7,2,4,2
14147350,6219,FK Jedinstvo Bijelo Polje,away,1,19,220,2,16,47,6,7,10,18,35,0.91,13,4,14,1,43,0,23,0,324,1,8,2,29,14,7,16,9,5,3
14147351,6219,FK Jedinstvo Bijelo Polje,home,4,26,276,0,15,50,6,7,5,13,35,1.7,11,1,7,1,41,0,13,1,373,0,4,2,28,21,6,12,6,8,1
14147351,327162,Mladost DG,away,2,34,315,0,20,50,2,8,9,11,34,0.71,12,2,3,3,35,0,17,0,405,0,2,2,28,17,3,6,3,2,1
14147352,5143,FK Budućnost Podgorica,home,4,31,411,6,17,55,5,7,6,23,42,3.36,11,1,4,1,55,0,16,4,492,0,6,8,20,22,11,19,8,2,2
14147352,37956,FK Arsenal Tivat,away,6,18,294,3,9,45,3,3,9,18,31,1.21,6,2,10,4,43,1,15,0,375,1,4,3,21,12,5,11,6,2,2
14147353,36019,FK Mornar Bar,home,7,35,348,0,29,54,2,4,10,35,48,1.52,16,1,8,0,59,2,9,5,413,0,12,5,19,16,12,21,9,7,1
14147353,6226,FK Dečić Tuzi,away,4,34,333,1,10,46,2,2,3,12,31,0.2,13,2,13,4,42,0,7,3,397,0,3,0,17,10,1,5,4,1,0
14147355,6219,FK Jedinstvo Bijelo Polje,home,5,34,304,1,29,54,2,5,8,9,37,0.59,17,2,8,4,36,0,26,1,394,0,3,3,27,23,3,8,5,8,2
14147355,7581,FK Bokelj Kotor,away,5,30,195,0,29,46,5,4,4,11,33,0.75,16,2,9,3,37,0,14,1,296,0,4,4,33,23,7,13,6,4,3
14147356,7581,FK Bokelj Kotor,home,4,26,244,0,17,41,3,4,8,8,32,1.2,20,4,6,2,43,0,13,1,330,0,2,4,20,25,7,9,2,9,2
14147356,6224,FK Sutjeska Nikšić,away,4,18,389,2,18,59,2,1,11,22,38,1.56,13,5,4,0,58,0,14,1,468,0,5,7,29,18,7,14,7,1,3
14147357,327162,Mladost DG,home,12,24,417,1,15,64,7,1,1,25,37,2.96,11,6,8,1,56,0,13,2,507,1,7,5,20,19,10,19,9,2,1
14147357,36019,FK Mornar Bar,away,3,15,182,1,15,36,3,2,6,15,34,1.55,20,1,11,6,49,0,15,2,268,1,3,4,25,23,6,10,4,7,2
14147358,37956,FK Arsenal Tivat,home,4,23,227,3,22,52,4,5,9,13,38,0.73,15,3,6,2,41,0,17,4,306,0,3,6,29,29,9,13,4,4,3
14147358,6216,OFK Petrovac,away,9,34,233,5,19,48,5,6,3,18,41,1.24,16,5,8,3,43,0,16,3,314,1,4,4,30,18,5,13,8,0,3
14147359,6224,FK Sutjeska Nikšić,home,4,27,312,0,13,48,3,5,5,5,44,1.74,16,5,8,2,39,0,16,0,381,0,4,9,23,20,12,16,4,4,1
14147359,24312,FK Jezero,away,4,18,381,1,8,52,0,2,7,8,38,0.34,13,1,7,9,33,1,17,2,454,0,5,2,20,15,4,8,4,3,1
14147360,6216,OFK Petrovac,home,6,32,281,0,30,59,4,4,3,22,54,0.63,16,5,3,2,56,0,10,5,360,0,5,4,20,9,6,13,7,3,2
14147360,6226,FK Dečić Tuzi,away,4,36,260,1,13,41,2,1,9,10,30,0.55,26,0,10,3,36,0,15,2,308,0,0,3,15,26,4,5,1,4,1
14147361,36019,FK Mornar Bar,home,6,30,330,1,28,61,4,7,6,29,44,1.26,17,3,8,4,52,1,8,5,435,0,2,4,9,21,7,11,4,6,2
14147361,6219,FK Jedinstvo Bijelo Polje,away,2,27,210,0,16,39,1,3,4,9,30,1.18,15,3,6,1,44,0,16,4,308,0,5,5,29,13,4,11,7,4,2
14147362,24312,FK Jezero,home,0,22,233,1,14,44,2,4,4,8,30,1.5,15,1,10,1,25,3,15,1,319,0,3,2,34,30,5,10,5,4,3
14147362,37956,FK Arsenal Tivat,away,7,22,296,1,22,56,2,5,1,13,35,0.28,9,5,7,0,30,0,17,3,402,0,5,1,33,24,2,8,6,4,0
14147363,5143,FK Budućnost Podgorica,home,4,19,364,2,10,55,1,4,7,17,38,0.63,21,1,6,2,57,0,13,2,461,0,1,2,22,16,4,4,0,7,6
14147363,327162,Mladost DG,away,4,25,291,1,11,45,3,5,9,21,37,1.49,15,3,3,2,54,0,22,0,361,0,5,3,30,18,6,11,5,5,4
14147364,37956,FK Arsenal Tivat,home,2,25,207,0,24,40,3,2,5,21,39,0.9,13,1,4,3,50,1,19,3,311,0,4,0,34,13,4,8,4,4,1
14147364,6224,FK Sutjeska Nikšić,away,3,35,348,0,26,60,1,1,5,8,37,0.17,14,1,11,0,37,0,13,1,458,0,0,3,31,13,0,4,4,1,3
14147365,7581,FK Bokelj Kotor,home,3,34,359,2,16,56,2,4,2,12,40,0.69,12,4,8,5,45,0,12,2,443,0,3,4,24,16,3,9,6,7,1
14147365,6219,FK Jedinstvo Bijelo Polje,away,4,38,287,1,24,44,1,3,5,14,41,1.84,22,0,3,3,41,0,15,2,364,0,3,6,20,22,8,10,2,4,3
14147366,6226,FK Dečić Tuzi,home,7,29,415,2,11,52,0,2,4,7,34,0.53,11,2,11,2,28,1,15,2,523,0,3,1,27,12,4,5,1,4,3
14147366,24312,FK Jezero,away,6,22,375,2,15,48,6,4,3,11,34,0.85,13,1,9,0,34,0,16,2,471,0,4,1,20,19,5,11,6,3,1
14147367,24312,FK Jezero,home,4,12,355,1,17,53,1,2,5,24,48,2.53,16,2,8,3,47,0,21,0,448,0,7,6,38,13,7,14,7,0,1
14147367,7581,FK Bokelj Kotor,away,6,25,314,1,7,47,2,2,7,8,29,1.3,16,2,10,4,37,0,17,2,404,0,4,4,26,17,8,10,2,6,4
14147368,6219,FK Jedinstvo Bijelo Polje,home,2,35,206,1,23,38,1,4,9,16,34,0.31,14,1,9,1,41,1,24,4,297,0,4,1,25,17,2,7,5,3,3
14147368,5143,FK Budućnost Podgorica,away,5,31,357,7,21,62,5,6,8,12,35,0.94,9,2,10,1,46,0,20,4,444,0,3,2,22,25,6,10,4,6,2
14147369,36019,FK Mornar Bar,home,3,34,354,1,11,53,2,4,3,14,40,0.5,7,3,4,0,49,0,12,2,449,0,2,3,27,20,3,7,4,6,0
14147369,7581,FK Bokelj Kotor,away,5,28,324,1,13,47,1,3,8,7,25,0.2,14,1,11,3,29,0,19,1,409,0,1,0,24,17,1,2,1,6,1
14147370,327162,Mladost DG,home,2,28,187,3,7,39,3,4,6,11,33,1.83,19,3,13,5,45,1,13,1,265,0,2,5,24,21,7,11,4,2,4
14147370,6216,OFK Petrovac,away,13,34,333,1,21,61,3,1,11,13,35,2.05,17,7,5,4,41,1,17,6,419,0,7,3,36,12,12,14,2,4,4
14147371,7581,FK Bokelj Kotor,home,3,25,154,1,26,44,1,4,4,11,35,0.3,21,6,3,2,43,0,17,0,244,0,3,3,28,27,3,7,4,12,2
14147371,37956,FK Arsenal Tivat,away,1,20,236,2,24,56,4,5,7,20,40,0.34,18,6,3,2,55,0,15,3,350,0,2,1,41,12,2,8,6,5,1
14147372,24312,FK Jezero,home,1,17,189,0,14,47,1,2,12,6,32,1.91,17,1,14,1,38,1,20,3,295,0,5,2,39,11,6,9,3,6,1
14147372,327162,Mladost DG,away,9,35,263,0,17,53,0,4,11,7,40,1.02,14,1,10,1,48,0,13,2,357,0,7,2,29,18,7,9,2,3,1
14147373,6216,OFK Petrovac,home,5,28,192,0,11,42,2,1,3,14,38,1.1,11,1,6,3,54,2,11,3,264,0,4,5,25,17,6,13,7,5,1
14147373,6219,FK Jedinstvo Bijelo Polje,away,6,16,343,0,17,58,4,3,3,14,33,0.58,23,2,6,1,36,0,13,1,418,0,3,3,29,11,3,10,7,6,2
14147374,6224,FK Sutjeska Nikšić,home,8,20,503,5,7,56,2,2,9,13,27,2.46,26,0,1,1,34,1,11,2,568,0,4,7,20,11,8,14,6,3,1
14147374,7581,FK Bokelj Kotor,away,3,23,308,1,6,44,1,4,7,11,38,0.46,10,4,6,2,47,0,14,1,366,1,0,3,13,18,2,4,2,6,1
14147375,6224,FK Sutjeska Nikšić,home,10,30,325,3,16,58,9,8,5,26,41,5.63,13,2,5,1,57,1,16,2,429,0,10,9,23,13,24,29,5,7,4
14147375,6226,FK Dečić Tuzi,away,2,21,214,1,17,42,2,3,10,10,29,1.08,4,3,17,6,35,0,22,0,308,0,4,2,17,39,7,8,1,5,1
14147376,5143,FK Budućnost Podgorica,home,5,24,431,2,10,54,1,5,12,12,30,3.22,15,1,9,2,42,0,18,3,510,0,7,8,19,14,12,16,4,8,1
