match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialWon,duelLost,duelWon,dispossessed,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,aerialLost,challengeLost,totalContest,wonContest,bigChanceCreated,keyPass,accurateCross,shotOffTarget,totalOffside,shotValueNormalized,onTargetScoringAttempt,goals,hitWoodwork,punches,blockedScoringAttempt,lastManTackle
14015436,home,5150,FK Vojvodina,1114797,Dragan Kokanović,dragan-kokanovic,M,20,True,8.0,7.0,,,0.0,1.0,1.0,6.0,7.0,,,,,18.0,16.0,6.4,4.0,,"{'original': 6.4, 'alternative': 6.7}",0,-0.18,-0.46,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,2,3,87.5,,,,,1.0,,4.0,2.0,,,,2.0,2.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
14015436,home,5150,FK Vojvodina,257071,Vukan Savićević,vukan-savicevic,M,8,True,9.0,7.0,1.0,1.0,0.0,5.0,7.0,2.0,2.0,,1.0,,,8.0,11.0,6.7,3.0,,"{'original': 6.7, 'alternative': 6.6}",0,0.07,-0.02,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,77.77777777777779,100.0,100.0,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,
14015436,home,5150,FK Vojvodina,1403053,Marko Mladenović,mladenovic-marko,M,11,True,5.0,5.0,,,0.0,1.0,1.0,4.0,4.0,,2.0,,,8.0,8.0,6.8,,,"{'original': 6.8, 'alternative': 7}",1,0.09,0.05,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,100.0,,,100.0,,,,,2.0,,,,,,,,,,,2.0,2.0,,,,1.0,,-0.11,,,,,,
14015436,home,5150,FK Vojvodina,1102771,Matija Gočmanac,matija-gocmanac,G,1,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015436,home,5150,FK Vojvodina,194450,Uroš Nikolić,uros-nikolic,M,10,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015436,home,5150,FK Vojvodina,796365,Mihai Butean,mihai-butean,D,16,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015436,home,5150,FK Vojvodina,111754,Marko Poletanović,marko-poletanovic,M,4,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015436,home,25737,FK Vojvodina,1085212,Ibrahim Mustapha,ibrahim-mustapha,F,17,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015436,home,5150,FK Vojvodina,1121635,Marko Veličković,marko-velickovic,M,24,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015436,home,5150,FK Vojvodina,938000,Lazar Ranđelović,lazar-randelovic,M,77,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
