match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,duelLost,duelWon,interceptionWon,totalTackle,wonTackle,wasFouled,fouls,keyPass,totalCross,accurateCross,aerialLost,aerialWon,challengeLost,dispossessed,onTargetScoringAttempt,blockedScoringAttempt,totalClearance,shotValueNormalized,unsuccessfulTouch,shotOffTarget,totalContest,wonContest,goals,totalOffside,bigChanceMissed,totalKeeperSweeper,accurateKeeperSweeper,outfielderBlock,bigChanceCreated,clearanceOffLine
14015495,away,5144,FK Javor Ivanjica,1124030,Milan Ilić,ilic-milan,D,2,True,6.0,2.0,4.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,,,21.0,18.0,7.2,8.0,,"{'original': 7.2, 'alternative': 6.8}",0,-0.02,0.07,0.46,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,33.33333333333333,25.0,,,,,2.0,,1.0,1.0,1.0,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,
14015495,away,5144,FK Javor Ivanjica,1047458,Mateja Zuvić,mateja-zuvic,F,32,True,3.0,3.0,,,0.0,3.0,3.0,,,2.0,,,12.0,6.0,6.5,3.0,,"{'original': 6.5, 'alternative': 6.5}",0,0.01,,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,
14015495,away,5144,FK Javor Ivanjica,1472922,Kayode Saliman,kayode-saliman,M,14,True,2.0,,,,0.0,,,,2.0,,,,9.0,3.0,6.4,3.0,,"{'original': 6.4, 'alternative': 6.3}",0,-0.02,0.02,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,,,,,,2.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,
14015495,away,5144,FK Javor Ivanjica,1153911,Dušan Ristić,dusan-ristic,D,15,True,,,,,0.0,,,,,,,,9.0,1.0,6.4,,,"{'original': 6.4, 'alternative': 6.4}",0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,
14015495,away,5235,FK Javor Ivanjica,1149060,Savo Šušić,savo-susic,D,29,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015495,away,312342,FK Javor Ivanjica,1942888,Boasiako Francis Antwi,boasiako-francis-antwi,F,33,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015495,away,5144,FK Javor Ivanjica,98458,Dušan Pantelić,dusan-pantelic,M,10,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015495,away,5144,FK Javor Ivanjica,1065775,Dimitrije Stevanović,dimitrije-stevanovic,G,12,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015495,away,5144,FK Javor Ivanjica,1910871,Petar Đoković,dokovic-petar,M,25,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015495,away,312342,FK Javor Ivanjica,2196365,Martin Anđelković,martin-andjelkovic,F,31,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
