match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,duelLost,duelWon,challengeLost,totalContest,totalClearance,clearanceOffLine,outfielderBlock,interceptionWon,unsuccessfulTouch,wasFouled,fouls,aerialWon,blockedScoringAttempt,errorLeadToAShot,penaltyConceded,shotValueNormalized,wonContest,totalTackle,wonTackle,totalCross,accurateCross,dispossessed,shotOffTarget,totalOffside,keyPass,bigChanceCreated,onTargetScoringAttempt,hitWoodwork,bigChanceMissed,goals
14015453,away,6146,FK Novi Pazar,1910796,Emmanuel Sieh,emmanuel-sieh,F,26,True,6.0,4.0,,,0.0,1.0,1.0,3.0,5.0,1.0,,,,,25.0,9.0,6.4,3.0,,"{'original': 6.4, 'alternative': 6.7}",1,-0.07,0.28,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,66.66666666666666,,,,,1.0,2.0,,,,,,,,1.0,,1.0,,,,,-0.4,,,,,,,1.0,,,,,1.0,,
14015453,away,25736,FK Novi Pazar,1102770,Semir Alić,semir-alic,M,14,True,8.0,6.0,1.0,1.0,0.0,,,6.0,8.0,1.0,,,,,14.0,9.0,6.6,2.0,,"{'original': 6.6, 'alternative': 6.7}",0,-0.09,0.01,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,75.0,100.0,,,,,2.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,
14015453,away,25736,FK Novi Pazar,944503,Luka Bijelović,luka-bijelovic,F,28,True,8.0,6.0,,,0.0,1.0,1.0,5.0,7.0,,,,,,14.0,13.0,6.5,4.0,,"{'original': 6.5, 'alternative': 6.7}",1,0.1,-0.19,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,75.0,,,100.0,,,1.0,1.0,,1.0,,,,,,,1.0,,1.0,,,-0.05,1.0,,,,,,,,1.0,,,,,
14015453,away,25736,FK Novi Pazar,1175945,Bob Murphy Omoregbe,omoregbe-bob-murphy,F,7,True,5.0,3.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,,,,,,11.0,9.0,6.9,2.0,,"{'original': 6.9, 'alternative': 7.5}",2,-0.3,0.19,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,60.0,50.0,,,,,,1.0,,,,,,,,1.0,,,,,,0.31,,,,,,,,,,,2.0,,,1.0
14015453,away,25736,FK Novi Pazar,1153954,Veljko Mirosavic,veljko-mirosavic,D,20,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015453,away,25736,FK Novi Pazar,795839,Miloje Preković,miloje-prekovic,G,12,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015453,away,5149,FK Novi Pazar,1152937,Dragan Bojat,dragan-bojat,D,2,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015453,away,25736,FK Novi Pazar,1111781,Jovan Manev,jovan-manev,D,29,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015453,away,25736,FK Novi Pazar,999049,Filip Bačkulja,backulja-filip,D,15,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015453,away,6224,FK Novi Pazar,1149283,Milos Vracar,milos-vracar,D,19,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
