match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,bigChanceMissed,blockedScoringAttempt,keyPass,shotOffTarget,bigChanceCreated,dispossessed,penaltyWon,savedShotsFromInsideTheBox,penaltyConceded,hitWoodwork
14147352,home,5143,FK Budućnost Podgorica,1016595,Ivan Bojović,ivan-bojovic,F,77,False,9.0,7.0,1.0,0.0,0.0,2.0,2.0,5.0,7.0,1.0,1.0,2.0,2.0,8.0,8.0,0.0,5.0,3.0,1.0,1.0,2.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,,,,,,90.0,24.0,7.4,10.0,0.02,0.22,"{'original': 7.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,4,12,6,6,77.77777777777779,0.0,100.0,60.0,,,,1.0,,,,,,,
14147352,home,5143,FK Budućnost Podgorica,1030472,Miomir Đuričković,miomir-durickovic,M,4,True,21.0,19.0,2.0,1.0,0.0,13.0,13.0,6.0,8.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,24.0,24.0,6.7,2.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,90.47619047619048,50.0,,,,,,,,,,,,,
14147352,home,241802,FK Budućnost Podgorica,57341,Petar Grbić,petar-grbic,M,18,True,8.0,6.0,1.0,1.0,0.0,3.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,17.0,18.0,6.9,5.0,0.11,0.0,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,2,4,75.0,100.0,,,,,,,,,1.0,,,,
14147352,home,241802,FK Budućnost Podgorica,1871041,Matija Jovanovic,matija-jovanovic,M,99,True,8.0,7.0,0.0,0.0,0.0,1.0,1.0,6.0,7.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,17.0,15.0,6.7,4.0,0.0,0.02,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,3,4,87.5,,0.0,100.0,,,,1.0,,,1.0,,,,
14147352,home,2414,FK Budućnost Podgorica,976992,Luka Štor,luka-stor,F,70,True,3.0,3.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,7.0,7.0,6.8,1.0,0.25,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,100.0,,,0.0,,,,,,,,,,,
14147352,home,5143,FK Budućnost Podgorica,1005619,Filip Domazetović,filip-domazetovic,G,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
14147352,home,5143,FK Budućnost Podgorica,1085082,Damjan Dakić,damjan-dakic,D,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
14147352,home,37153,FK Budućnost Podgorica,1005600,Petar Vuković,petar-vukovic,D,36,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
14147352,home,241802,FK Budućnost Podgorica,843228,Leonel Strumia,leonel-strumia,M,92,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
14147352,home,5367,FK Budućnost Podgorica,889060,Nedeljko Piščević,nedeljko-piscevic,M,32,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
