match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalContest,onTargetScoringAttempt,unsuccessfulTouch,wasFouled,fouls,shotValueNormalized,outfielderBlock,totalTackle,interceptionWon,wonTackle,accurateCross,wonContest,bigChanceCreated,keyPass,challengeLost,totalOffside,shotOffTarget,goals,bigChanceMissed,blockedScoringAttempt,goodHighClaim,savedShotsFromInsideTheBox
14666216,home,25736,FK Novi Pazar,1032770,Stefan Stanisavljević,stefan-stanisavljevic,F,18,False,18.0,11.0,1.0,1.0,0.0,2.0,3.0,9.0,15.0,,4.0,,,90.0,33.0,7.6,13.0,,"{'original': 7.6, 'alternative': 8}",3,-0.04,0.16,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,7,4,2,2,61.111111111111114,100.0,,,,,2.0,5.0,4.0,7.0,1.0,,1.0,5.0,2.0,1.0,0.47,,,,,,,1.0,2.0,,,2.0,1.0,,,,
14666216,home,25736,FK Novi Pazar,1102770,Semir Alić,semir-alic,M,14,True,10.0,8.0,,,0.0,,,8.0,10.0,,2.0,,,45.0,19.0,6.7,4.0,,"{'original': 6.7, 'alternative': 6.8}",2,0.16,0.12,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,80.0,,,100.0,,,1.0,,3.0,2.0,1.0,1.0,,1.0,,1.0,-0.27,,1.0,,1.0,,1.0,,1.0,,,2.0,,1.0,,,
14666216,home,25736,FK Novi Pazar,1175945,Bob Murphy Omoregbe,omoregbe-bob-murphy,F,7,True,10.0,5.0,,,0.0,,1.0,5.0,9.0,,,,,32.0,26.0,6.7,9.0,,"{'original': 6.7, 'alternative': 6.7}",1,0.01,-0.02,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,5,3,50.0,,,,,,1.0,,4.0,5.0,1.0,1.0,,2.0,4.0,1.0,0.01,,1.0,1.0,1.0,,,,,,,,,,1.0,,
14666216,home,25736,FK Novi Pazar,1111781,Jovan Manev,jovan-manev,D,29,True,18.0,14.0,6.0,3.0,0.0,12.0,14.0,2.0,4.0,,3.0,,,32.0,22.0,6.8,4.0,,"{'original': 6.8, 'alternative': 6.6}",0,0.04,-0.09,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,3,0,0,0,77.77777777777779,50.0,,,,,1.0,2.0,1.0,2.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,
14666216,home,5149,FK Novi Pazar,1152937,Dragan Bojat,dragan-bojat,D,2,True,3.0,2.0,,,0.0,,,2.0,3.0,,,,,1.0,8.0,,3.0,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,66.66666666666666,,,,,1.0,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,
14666216,home,25736,FK Novi Pazar,907763,Abdulsamed Abdullahi,abdulsamed-abdullahi,M,8,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14666216,home,5363,FK Novi Pazar,887054,Samson Iyede,samson-iyede,F,9,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14666216,home,25736,FK Novi Pazar,999049,Filip Bačkulja,backulja-filip,D,15,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14666216,home,25736,FK Novi Pazar,1153954,Veljko Mirosavic,veljko-mirosavic,D,20,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14666216,home,25736,FK Novi Pazar,1617763,Saladin Mecinovic,saladin-mecinovic,G,25,True,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
