match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,unsuccessfulTouch,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,duelWon,dispossessed,totalContest,wonContest,shotOffTarget,totalClearance,totalTackle,wonTackle,fouls,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,keyPass,shotValueNormalized,aerialLost,aerialWon,onTargetScoringAttempt,goals,challengeLost,outfielderBlock,interceptionWon,wasFouled,blockedScoringAttempt,totalOffside,bigChanceCreated,bigChanceMissed,goodHighClaim,punches,lastManTackle,errorLeadToAShot
14015564,home,1671,FK IMT Beograd,988937,Ugo Bonnet,ugo-bonnet,F,11,False,17.0,13.0,,,0.0,3.0,3.0,10.0,14.0,5.0,,,,67.0,29.0,6.5,8.0,71.833928117666,10.0,13.65,6.93,,"{'original': 6.5, 'alternative': 6.9}",1,-0.13,0.18,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,1,4,76.47058823529412,,,33.33333333333333,,,,5.0,3.0,2.0,3.0,1.0,,,,,,,,2.0,-0.09,1.0,2.0,,,,,,1.0,1.0,,,,,,,
14015564,home,308176,FK IMT Beograd,886182,Marko Jevtić,marko-jevtic,M,14,True,3.0,3.0,,,0.0,2.0,2.0,1.0,1.0,,,,,37.0,7.0,6.8,,11.390596165258,1.0,-2.625,-2.625,,"{'original': 6.8, 'alternative': 6.6}",0,0.05,-0.02,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,2,0,100.0,,,,,,,,3.0,,,,,2.0,2.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,
14015564,home,308176,FK IMT Beograd,1405262,Vicky Kiankaulua,kiankaulua-vicky,F,94,True,6.0,4.0,1.0,,0.0,,1.0,4.0,5.0,,2.0,,,37.0,17.0,6.3,7.0,23.43290175498,4.0,5.565,7.35,,"{'original': 6.3, 'alternative': 6.4}",0,-0.08,-0.15,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,3,3,66.66666666666666,,,50.0,,,,5.0,4.0,2.0,2.0,1.0,,1.0,1.0,,,,,,,2.0,1.0,,,,,,1.0,,,,,,,,
14015564,home,308176,FK IMT Beograd,1444568,Sankara Karamoko,sankara-karamoko,F,50,True,5.0,5.0,,,0.0,4.0,4.0,1.0,1.0,4.0,3.0,,,23.0,12.0,6.5,3.0,46.552472679024,5.0,30.135,24.675,,"{'original': 6.5, 'alternative': 6.6}",1,-0.02,0.33,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,100.0,,,,,,,2.0,1.0,,,,,,,,1.0,31.703637937325,2.0,,-0.53,,,,,1.0,,,1.0,1.0,,,,,,,
14015564,home,313716,FK IMT Beograd,595042,Antoine Batisse,antoine-batisse,D,4,True,6.0,5.0,2.0,1.0,0.0,4.0,4.0,1.0,2.0,,,,,23.0,6.0,6.6,1.0,3.3682404902263,1.0,1.89,1.89,,"{'original': 6.6, 'alternative': 6.5}",0,0.06,-0.02,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,83.33333333333334,50.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14015564,home,353746,FK IMT Beograd,2334125,Daniel Akrofi,daniel-akrofi,M,35,True,1.0,1.0,,,0.0,1.0,1.0,,,,1.0,,,1.0,2.0,,1.0,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015564,home,308176,FK IMT Beograd,1481264,Nikola Krstić,nikola-krstic,F,25,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015564,home,308176,FK IMT Beograd,1142784,Marko Luković,marko-lukovic,D,24,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015564,home,308176,FK IMT Beograd,1516067,Miloš Jović,milos-jovic,F,9,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015564,home,1210144,FK IMT Beograd,2356743,Matej Pribisic,matej-pribisic,G,33,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
