match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,totalContest,wonContest,totalClearance,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,dribbleValueNormalized,aerialWon,dispossessed,bigChanceCreated,keyPass,blockedScoringAttempt,shotValueNormalized,onTargetScoringAttempt,goals,bigChanceMissed,totalOffside,errorLeadToAGoal,totalKeeperSweeper,accurateKeeperSweeper,shotOffTarget
14015490,away,43981,FK Radnički 1923,862199,Ester Sokler,sokler-ester,F,19,False,3.0,2.0,,,0.0,1.0,1.0,1.0,2.0,,,,,11.0,5.0,6.6,2.0,,"{'original': 6.6, 'alternative': 6.7}",0,-0.02,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,66.66666666666666,,,100.0,,,,,,1.0,,1.0,1.0,,,,,,1.0,,,0.12,,,,,,,,,,,,,,
14015490,away,32870,FK Radnički 1923,990630,Yankuba Jarju,yankuba-jarju,F,66,True,21.0,15.0,,,0.0,9.0,9.0,6.0,12.0,,,,,79.0,36.0,6.5,11.0,,"{'original': 6.5, 'alternative': 6.8}",1,-0.67,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,5,6,5,1,71.42857142857143,,,66.66666666666666,,,,2.0,3.0,8.0,,3.0,2.0,1.0,,,,,4.0,3.0,,0.08,3.0,,,1.0,1.0,-0.01,,,,1.0,,,,
14015490,away,43981,FK Radnički 1923,1158017,Alfa Baldé,alfa-balde,F,17,True,28.0,20.0,2.0,,0.0,6.0,9.0,14.0,19.0,7.0,,,,75.0,46.0,6.7,17.0,,"{'original': 6.7, 'alternative': 6.9}",2,-0.15,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,4,2,71.42857142857143,,,60.0,,4.0,,,2.0,4.0,,5.0,3.0,,,,1.0,,2.0,,,0.23,,,,,,-0.46,1.0,,,,,,,1.0
14015490,away,7674,FK Radnički 1923,1046779,Jovan Ilić,jovan-ilic,M,21,True,14.0,13.0,1.0,1.0,0.0,6.0,6.0,7.0,8.0,2.0,,,,45.0,24.0,6.5,3.0,,"{'original': 6.5, 'alternative': 6.3}",0,0.3,-0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,3,4,92.85714285714286,100.0,100.0,,,2.0,2.0,1.0,5.0,3.0,2.0,,,,,,1.0,1.0,1.0,2.0,1.0,0.16,,1.0,,1.0,,,,,,,,,,
14015490,away,43981,FK Radnički 1923,987250,Issa Bah,bah-issa,F,77,True,3.0,2.0,,,0.0,,,2.0,3.0,,,,,13.0,7.0,6.5,4.0,,"{'original': 6.5, 'alternative': 6.5}",1,-0.03,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,66.66666666666666,,,,,1.0,,,,1.0,,,,,,,,,2.0,,,0.02,1.0,,,,1.0,-0.36,,,,,,,,
14015490,away,200776,FK Radnički 1923,1063157,Luka Stankovski,stankovski-luka,M,80,True,7.0,7.0,,,0.0,2.0,2.0,5.0,5.0,2.0,,,,13.0,9.0,6.6,1.0,,"{'original': 6.6, 'alternative': 6.6}",0,0.13,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,100.0,,,100.0,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,0.07,,1.0,,1.0,,,,,,,,,,
14015490,away,241802,FK Radnički 1923,987618,Danilo Mitrović,danilo-mitrovic,D,25,True,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015490,away,43981,FK Radnički 1923,1468038,Miloš Mladenović,milos-mladenovic,G,45,True,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015490,away,43981,FK Radnički 1923,1159434,Bojan Adžić,bojan-adzic,D,23,True,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015490,away,43981,FK Radnički 1923,1595656,Nikola Bukumira,nikola-bukumira,M,32,True,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015490,away,43981,FK Radnički 1923,1802942,Stefan Petkoski Cimbaljević,stefan-petkoski-cimbaljevic,D,33,True,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015490,away,263765,FK Radnički 1923,1853855,Ibrahim Yusuf Omosanya,ibrahim-yusuf-omosanya,M,22,True,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
